id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
31989,0.004255,tcp,http,FIN,8,10,1044,824,3995.299613,31,29,1718448.875,1395064.625,2,2,0.557143,0.411667,35.905651,0.750318,255,283457388,2429901772,255,0.000696,0.000545,0.000151,131,82,1,83,1,0,11,1,1,7,0,0,1,10,2,0,Normal,0
3721,1.050753,tcp,smtp,FIN,28,20,11699,1818,44.729827,62,252,85896.49219,13156.2793,11,8,38.916777,52.896316,2144.318761,64.446414,255,2923451522,1329171441,255,0.101607,0.045047,0.05656,418,91,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Exploits,1
40255,0.001004,udp,dns,CON,2,2,146,178,2988.047923,31,29,581673.3125,709163.375,0,0,0.008,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,2,1,1,1,0,0,0,5,3,0,Normal,0
50601,1.2e-05,iso-tp4,-,INT,2,0,200,0,83333.33039,254,0,66666664.0,0.0,0,0,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,22,2,4,4,4,4,0,0,0,4,17,0,Analysis,1
42409,0.947534,tcp,-,FIN,10,6,588,268,15.830566,254,252,4474.773438,1891.224976,2,1,105.12,162.154797,5704.275591,278.7295,255,2350445429,3160058061,255,0.228125,0.136752,0.091373,59,45,0,0,4,1,1,1,1,2,0,0,0,3,2,0,Normal,0
12476,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,2,17,17,8,17,0,0,0,17,17,0,Generic,1
54683,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,7,7,4,7,0,0,0,8,11,0,Generic,1
17192,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,35,2,35,35,13,35,0,0,0,35,35,0,Generic,1
68029,3e-06,udp,-,INT,2,0,350,0,333333.3215,254,0,466666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,175,0,0,0,7,2,3,3,1,6,0,0,0,4,6,0,Normal,0
20771,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,21,2,18,18,18,21,0,0,0,18,21,0,Generic,1
