id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
19833,0.004507,tcp,-,FIN,18,18,3936,2456,7765.697644,31,29,6599511.5,4118038.5,7,7,0.247294,0.235529,12.120011,0.304361,255,2565446033,2564214576,255,0.000625,0.000498,0.000127,219,136,0,0,6,0,3,1,1,4,0,0,0,5,5,0,Normal,0
30873,0.252348,udp,-,CON,4,4,568,320,27.73947,31,29,13505.15918,7608.540527,0,0,70.663664,69.996336,99.922906,98.985523,0,0,0,0,0.0,0.0,0.0,142,80,0,0,8,0,4,2,1,6,0,0,0,4,13,0,Normal,0
28258,0.157035,tcp,-,FIN,48,50,2958,33044,617.696719,31,29,147584.9375,1649772.375,7,18,3.406913,3.191102,180.226073,173.11362,255,2715598369,2845423598,255,0.00077,0.000668,0.000102,62,661,0,0,11,0,2,1,1,1,0,0,0,2,5,0,Normal,0
28524,0.021248,tcp,-,FIN,48,50,2958,33044,4565.135597,31,29,1090738.0,12192771.0,7,18,0.453891,0.423449,27.84865,26.376393,255,1915250031,4084316660,255,0.000635,0.000496,0.000139,62,661,0,0,11,0,3,1,1,2,0,0,0,7,3,0,Normal,0
10697,7.653147,tcp,-,FIN,292,560,16640,707082,111.196084,31,29,17335.61328,737808.875,26,253,26.480018,13.714448,12511.66656,9041.446009,255,2986711608,844752949,255,0.000626,0.000482,0.000144,57,1263,0,0,14,0,3,2,1,7,0,0,0,6,16,0,Normal,0
37817,0.001085,udp,dns,CON,2,2,146,178,2764.976968,31,29,538248.875,656221.1875,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,7,6,0,Normal,0
8883,0.001046,udp,dns,CON,2,2,146,178,2868.068701,31,29,558317.375,680688.3125,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,2,2,1,1,0,0,0,4,5,0,Normal,0
5300,0.001032,udp,dns,CON,2,2,132,164,2906.976908,31,29,511627.9375,635658.9375,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,2,0,5,2,1,5,0,0,0,9,5,0,Normal,0
3286,0.020041,tcp,-,FIN,16,18,1540,1644,1646.624412,31,29,576418.3125,619929.125,4,4,1.315733,1.150529,81.962733,2.58466,255,2487850980,2491788799,255,0.000596,0.000481,0.000115,96,91,0,0,10,0,9,6,1,7,0,0,0,8,19,0,Normal,0
10465,0.098886,tcp,ssh,FIN,32,24,3728,5474,556.196034,31,29,292215.2813,424407.9063,7,7,3.2962,4.267826,313.275168,10.552928,255,3679480745,1534380936,255,0.000719,0.000571,0.000148,117,228,0,0,2,0,5,1,1,3,0,0,0,1,1,0,Normal,0
18525,0.007865,tcp,-,FIN,34,36,2230,13500,8773.0456,31,29,2202161.5,13350287.0,7,11,0.243548,0.202886,13.975918,12.177176,255,780240019,2930109247,255,0.000902,0.000755,0.000147,66,375,0,0,7,0,5,1,1,1,0,0,0,6,6,0,Normal,0
47295,0.473331,tcp,-,FIN,10,6,534,268,31.690297,254,252,8129.617676,3785.934082,2,1,52.498444,76.343,2825.002574,135.673563,255,2877751450,3884831639,255,0.201103,0.091604,0.109499,53,45,0,0,5,1,2,2,1,4,0,0,0,2,4,0,Normal,0
17347,0.000967,udp,dns,CON,2,2,146,178,3102.378397,31,29,603929.6875,736297.8125,0,0,0.001,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,6,1,1,1,0,0,0,1,4,0,Normal,0
15716,0.029407,udp,-,CON,4,4,544,304,238.038561,31,29,110993.9766,62026.04688,0,0,4.101667,7.989,5.792147,11.288253,0,0,0,0,0.0,0.0,0.0,136,76,0,0,5,0,5,1,1,4,0,0,0,3,7,0,Normal,0
18979,0.001019,udp,dns,CON,2,2,130,162,2944.062924,31,29,510304.25,635917.5625,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,1,1,1,2,0,0,0,1,4,0,Normal,0
23467,0.001023,udp,dns,CON,2,2,130,162,2932.551349,31,29,508308.9063,633431.0625,0,0,0.006,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,1,0,1,1,1,1,0,0,0,7,2,0,Normal,0
67164,1.1e-05,udp,-,INT,2,0,1064,0,90909.0902,254,0,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,35,2,13,13,1,35,0,0,0,13,36,0,Normal,0
41628,0.639893,tcp,-,FIN,10,6,534,268,23.441419,254,252,6013.505371,2800.468262,2,1,69.116778,96.131203,4032.210112,159.676922,255,3870623201,3868127406,255,0.334211,0.159228,0.174983,53,45,0,0,3,1,2,2,1,3,0,0,0,3,3,0,Normal,0
6745,0.004428,tcp,-,FIN,22,14,1470,1728,7904.245371,31,29,2536585.25,2899728.75,5,4,0.210857,0.284,13.046239,0.379622,255,225823710,226176629,255,0.000752,0.000636,0.000116,67,123,0,0,10,0,2,1,1,1,0,0,0,1,6,0,Normal,0
9261,0.001015,udp,dns,CON,2,2,146,178,2955.664893,31,29,575369.4375,701477.8125,0,0,0.002,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,6,2,1,2,0,0,0,11,3,0,Normal,0
20859,0.005724,tcp,-,FIN,22,24,1920,4312,7861.635477,31,29,2561845.0,5776380.5,6,6,0.26895,0.232636,16.382792,12.893774,255,3985758083,3986066455,255,0.000722,0.000597,0.000125,87,180,0,0,5,0,2,1,1,1,0,0,0,4,6,0,Normal,0
13349,0.001099,udp,dns,CON,2,2,146,178,2729.754356,31,29,531392.1875,647861.6875,0,0,0.015,0.011,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,1,2,1,3,0,0,0,3,1,0,Normal,0
25271,0.020933,tcp,ftp,FIN,52,54,2934,3742,5016.003351,31,29,1099890.125,1403716.625,11,15,0.4124,0.384698,27.743393,0.653841,255,3239717940,1095384900,255,0.000666,0.000539,0.000127,56,69,0,0,1,0,6,1,1,4,1,1,0,5,1,0,Normal,0
22376,0.030289,tcp,-,FIN,72,74,4238,63516,4787.216497,31,29,1104031.125,16549374.0,7,30,0.421493,0.406219,21.656267,21.498916,255,3488285665,3488624290,255,0.000742,0.000627,0.000115,59,858,0,0,3,0,4,1,1,1,0,0,0,1,6,0,Normal,0
23070,0.093043,tcp,-,FIN,22,24,2054,2478,483.647348,31,29,168610.2188,204206.6563,6,6,4.413333,4.017609,403.843394,385.930287,255,3363514628,1214276535,255,0.000746,0.000602,0.000144,93,103,0,0,6,0,3,1,1,3,0,0,0,1,9,0,Normal,0
45956,8.710173,tcp,-,REQ,12,0,540,0,1.262891,254,0,454.640808,0.0,11,0,791.833938,0.0,1318.3005,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,18,6,4,2,2,18,0,0,0,4,19,0,Normal,0
33427,0.001035,udp,dns,CON,2,2,130,162,2898.550823,31,29,502415.4688,626087.0,0,0,0.008,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,2,1,1,1,0,0,0,2,1,0,Normal,0
15323,0.318784,tcp,-,FIN,28,28,4456,2976,172.530617,31,29,107834.7734,72023.6875,7,7,12.249038,11.789111,716.751269,18.625566,255,137532274,2286043229,255,0.000586,0.000475,0.000111,159,106,0,0,8,0,4,1,1,3,0,0,0,5,6,0,Normal,0
27717,2.405701,tcp,ftp,FIN,52,54,2934,3740,43.646323,31,29,9570.599609,12207.66895,11,15,47.164727,45.380453,3254.631563,94.460938,255,17305009,2493107846,255,0.000672,0.000533,0.000139,56,69,0,0,1,0,3,1,1,4,1,1,0,4,1,0,Normal,0
